年月日	平均現地気圧(hPa)	平均海面気圧(hPa)	降水量の合計(mm)	降水量の最大1時間(mm)	降水量の最大10分間(mm)	平均気温(℃)	最高気温(℃)	最低気温(℃)	平均湿度(％)	最小湿度(％)	平均風速(m/s)	最大風速(m/s)	最大風速(m/s)	最大瞬間風速(m/s)	最大瞬間風速(m/s)	日照時間(時間)	降雪の合計(cm)	最深積雪(cm)	天気概況(昼：06時～18時)	天気概況(夜：18時～翌日06時)
7/1/2021	1010.6	1013.4	64.5	14.5	3	20.9	22.9	20.1	98	82	1.8	5.8	東南東	10.9	東南東	0	--	--	大雨時々曇	雨
7/2/2021	1008.7	1011.5	68	11	3.5	21.2	22.2	20.3	100	100	1.4	3.4	北東	5.4	東北東	0	--	--	大雨	大雨
7/3/2021	1007.9	1010.7	53.5	17	4.5	22.2	25.8	20.5	92	78	2.1	4.3	東北東	7.9	東北東	0.3	--	--	雨後曇	曇後雨
7/4/2021	1012.1	1014.9	17.5	5	2	20.1	21.1	19.3	98	89	1.5	3.3	北東	5.5	北東	0	--	--	雨	雨後時々曇一時霧雨、霧を伴う
7/5/2021	1007.5	1010.3	2.5	1	0.5	22.1	25.1	19.9	96	79	1.3	3.9	北西	5.3	北西	0.6	--	--	曇時々雨	曇
7/6/2021	1006.7	1009.5	0.5	0.5	0.5	24.7	29.6	22	91	67	1.6	3	南南東	4	南	0.2	--	--	曇時々雨	雨時々曇
7/7/2021	1004.2	1007	0.5	0.5	0.5	25.8	30	22.9	85	68	2	4.1	東北東	7.8	東南東	1.9	--	--	曇一時雨	曇
7/8/2021	1005.6	1008.4	7.5	2	1	23.7	24.8	22.3	93	80	2.2	3.8	東	6.9	東	0	--	--	雨	雨
7/9/2021	1005.2	1008	9	2	1	23.5	24.9	22.2	100	97	1.4	3	西北西	4.7	東北東	0	--	--	雨時々曇	曇時々雨
7/10/2021	1005.6	1008.3	4.5	4.5	4	27	33.4	22.7	86	61	2.5	5.7	北北東	11	北東	9	--	--	晴時々曇	曇一時雨、雷を伴う
7/11/2021	1008.5	1011.3	17.5	17	10	24.7	31.8	21.2	91	65	1.7	9	北西	17.2	北西	3.1	--	--	曇後晴一時雨、雷・ひょうを伴う	晴時々曇一時雨
7/12/2021	1008.6	1011.4	0	0	0	25.8	31.6	21	82	61	2	4.9	南東	7.8	南南東	7.9	--	--	薄曇	曇時々雨
7/13/2021	1010	1012.8	0	0	0	25.5	29	23.4	81	65	2	4.7	東北東	9.1	東北東	1.6	--	--	曇、雷を伴う	曇
7/14/2021	1013.3	1016.1	0	0	0	25.3	28.8	22.8	82	65	2.4	6.6	南東	10.7	南東	0.9	--	--	曇	曇、雷を伴う
7/15/2021	1016.4	1019.1	0	0	0	26.4	31.1	23	80	60	2.5	5	南東	7.7	南東	5	--	--	曇後晴	曇一時晴
7/16/2021	1017	1019.7	--	--	--	27.7	33.2	24.1	77	53	2.7	5.8	南東	9.3	南東	8	--	--	曇後晴	晴一時曇
7/17/2021	1014.7	1017.4	--	--	--	27.4	32.6	23.5	74	48	2.8	5.5	南南東	8.9	南東	9.6	--	--	晴	晴
7/18/2021	1012.8	1015.5	--	--	--	28.1	33.2	23.7	76	59	3.7	7	南東	10.6	南東	12.9	--	--	晴	晴
7/19/2021	1012.4	1015.2	--	--	--	29.2	34.7	25.1	75	53	2.7	5.2	南南東	8.1	南	11	--	--	晴	晴後曇
7/20/2021	1012.5	1015.2	--	--	--	28.8	34	25.6	72	51	2.9	5.3	南	8	南	9.8	--	--	晴後薄曇	薄曇後晴
7/21/2021	1011.6	1014.3	--	--	--	28.4	33.6	24.3	70	43	2.8	5.4	南東	7.8	南	10.6	--	--	晴	晴
7/22/2021	1010	1012.7	--	--	--	28.4	34.2	24.1	69	33	2.9	6.3	南	10.4	南	11.3	--	--	晴	晴
7/23/2021	1008.5	1011.2	0	0	0	28.4	34	24.6	71	45	2.9	6.5	南	10.1	南東	8.7	--	--	晴	晴一時曇
7/24/2021	1008.4	1011.2	0	0	0	28.5	34.4	25.3	72	46	2.9	6.2	南東	10.9	南南東	7.3	--	--	晴	晴
7/25/2021	1007.4	1010.1	--	--	--	28.5	34.4	24.7	70	40	2.5	6	南東	9.5	南東	10.4	--	--	晴	晴後曇
7/26/2021	1001.7	1004.4	0	0	0	27.5	32.1	24.6	66	48	2.9	5.1	北北東	10	北東	5.4	--	--	曇	曇後雨
7/27/2021	995.2	997.9	34.5	16	4.5	24.9	29.8	21.3	84	60	3.1	6.1	北西	11.9	北	2.7	--	--	雨後晴時々曇	曇時々晴
7/28/2021	997.4	1000.1	0	0	0	27.7	32	23.9	79	67	3.4	6.9	南南東	12.2	南南東	6.8	--	--	曇後晴	晴
7/29/2021	999.5	1002.2	--	--	--	27.8	32.1	24.3	79	61	3.6	7.8	南東	12.8	南東	4.5	--	--	曇時々晴	曇一時晴
7/30/2021	999.8	1002.5	30	18.5	6	25.8	30.5	23.9	93	68	2.4	5.2	南東	7.3	南東	2.1	--	--	曇時々大雨、雷を伴う	曇時々晴
7/31/2021	999.6	1002.3	--	--	--	27.5	32.5	23.3	77	52	2.2	4.2	東南東	8.3	東	8.6	--	--	晴一時曇	晴
8/1/2021	1000.2	1002.9	--	--	--	28.7	33.7	24.2	76	54	3.2	6.1	南南東	10.4	南東	12	--	--	晴	晴
8/2/2021	1006.1	1008.8	0.5	0.5	0.5	28.6	33.1	25.6	80	55	3.4	7.4	南東	11	南南東	7.6	--	--	晴後曇時々雨	晴時々曇
8/3/2021	1009.9	1012.6	3	3	2	29	32.9	25.7	80	60	4	7.4	南	10.7	南南西	7.6	--	--	曇一時雨後晴	晴
8/4/2021	1008.2	1010.9	--	--	--	29.5	34.5	25.7	76	55	3	5.1	南南東	8	南東	11.5	--	--	晴	晴
8/5/2021	1005.1	1007.8	--	--	--	29.1	34.7	24	74	53	2.8	5.6	南南東	8.1	南東	11.7	--	--	晴後時々薄曇	薄曇後晴
8/6/2021	1004.2	1006.9	--	--	--	29.1	34.8	24.6	75	47	2.9	6.5	南東	10.2	南東	9.9	--	--	晴	晴
8/7/2021	1003.1	1005.8	2	1	0.5	27.9	31.4	26.3	85	65	2.5	6.6	南東	10.8	南東	1.5	--	--	曇時々雨	曇後大雨
8/8/2021	998	1000.7	90.5	27	7	25.9	28.8	24.7	97	81	3	4.9	北西	10.1	北東	0.1	--	--	大雨後一時曇	薄曇時々晴
8/9/2021	995.4	998.1	2	1.5	0.5	28.1	31.3	25.6	84	69	6.1	12.4	南	21.2	南南西	3.9	--	--	曇時々雨後一時晴	晴時々曇
8/10/2021	996.3	999	0	0	0	31	36.8	27.2	58	41	4.7	11	南南西	22.2	南南西	9.2	--	--	晴	晴一時曇
8/11/2021	1008	1010.8	--	--	--	29.2	33.5	25.9	61	45	2.9	6.6	南南東	10.6	南南東	8.8	--	--	晴後薄曇	曇
8/12/2021	1008.8	1011.6	0.5	0.5	0.5	26	29.2	23.9	84	68	2.4	4.8	南	8.2	南南西	0.7	--	--	曇時々雨	雨時々曇
8/13/2021	1008	1010.8	20.5	6	3.5	22.5	25.4	20.5	97	87	2.7	7.1	南	12.9	南	0	--	--	雨	大雨
8/14/2021	1003.6	1006.4	77	21.5	9.5	22.3	25.6	20.1	100	97	2.7	7.3	南	13.2	南東	0	--	--	雨	大雨
8/15/2021	1009.1	1011.9	138.5	30	9.5	19.3	20.2	18.4	100	99	2	3.1	北西	6.5	北	0	--	--	大雨	雨時々曇
8/16/2021	1014.3	1017.2	2	0.5	0.5	20.7	22.5	19	98	91	1.8	3.6	北西	5.2	北西	0	--	--	雨時々曇	曇
8/17/2021	1012.3	1015.1	23.5	16.5	6	23.7	27.4	20.7	96	84	2.4	7.3	南	15.1	南南東	1.2	--	--	雨時々曇	曇時々雨一時晴
8/18/2021	1009.4	1012.2	3	3	1.5	27	31.3	24.5	83	68	5.2	8.3	南南西	15.7	南西	5.8	--	--	晴時々曇一時雨	晴後一時曇
8/19/2021	1012.7	1015.4	0	0	0	28.5	33.8	25.1	74	49	4.8	8.8	南	15.9	南	11.3	--	--	晴	晴一時薄曇
8/20/2021	1014.3	1017.1	--	0	--	28.7	33.7	25.2	71	52	4.4	7.1	南東	11.7	南	10.9	--	--	晴	晴後一時薄曇
8/21/2021	1012.4	1015.2	0	0	0	27.9	32.1	24.8	75	61	3.2	5.8	南	9.8	南南東	4.6	--	--	曇一時晴	曇
8/22/2021	1008.7	1011.5	0	0	0	28.5	33.6	25.5	76	54	2.5	5.2	南	9.5	南	4.6	--	--	曇	曇
8/23/2021	1007.5	1010.3	2.5	2.5	1.5	26.9	30.3	22.2	84	67	2.3	4.9	南東	9.8	東北東	4.2	--	--	曇一時雨後一時晴、雷を伴う	晴時々薄曇
8/24/2021	1007.4	1010.2	0	0	0	27.5	31	23.9	78	60	2.8	5.9	南南西	9	南南東	4.2	--	--	曇	曇時々雨
8/25/2021	1005.9	1008.6	0	0	0	29.4	34.4	26.3	76	54	2.5	5.4	南南東	8.2	東南東	5.4	--	--	曇	晴
8/26/2021	1008.3	1011	0	0	0	30.5	35.7	26.6	75	53	2.3	5.1	南東	8.4	南東	8.1	--	--	薄曇時々晴	晴
8/27/2021	1008.6	1011.3	--	--	--	30	34.3	26.9	74	57	2.5	6	南東	9.7	南東	9	--	--	晴時々曇	晴一時曇
8/28/2021	1007.3	1010	0	0	0	29.8	34.8	26.7	76	51	2.4	5.1	南南東	8.8	南南東	8.9	--	--	晴一時曇	晴後一時曇
8/29/2021	1009.4	1012.1	0	0	0	28.5	32.8	26.5	72	57	2.7	4.9	南東	7.3	南東	1.1	--	--	曇	曇
8/30/2021	1009.1	1011.8	0	0	0	29.2	33.8	26.1	79	60	2.8	6.6	南東	10.1	南東	8.9	--	--	晴一時曇	晴後曇
8/31/2021	1010.6	1013.4	17	11.5	5	26.9	32.4	21.2	76	56	2.9	6	南	9.6	南南東	2.9	--	--		
